Headline,Source,Year,Month,Day,Pre-Covid,Bias,Cred
Travis Boyd packs production into latest opportunity with Capitals,The Washington Times,2019,11,28,0,1,2
"Gordon Sondland, impeachment witness, accused of sexual misconduct: Report",The Washington Times,2019,11,28,0,1,2
Impeachment farce boomerangs on Democrats,The Washington Times,2019,11,28,0,1,2
Robert Redford slams Donald Trump's 'dictator-like attack' on democracy: 'We're up against a crisis',The Washington Times,2019,11,28,0,1,2
Pete Buttigieg camp to return donations from Brett Kavanaugh lawyers: 'We believe the women',The Washington Times,2019,11,28,0,1,2
We Are Family nonprofit delivers Thanksgiving meals to Washington D.C. seniors,The Washington Times,2019,11,28,0,1,2
Terrapins look to capitalize on shakeups at the top of poll,The Washington Times,2019,11,28,0,1,2
Donald Trump supporters brace for Thanksgiving dinner: 'The hatred now is just unbelievable',The Washington Times,2019,11,28,0,1,2
Lamar Jackson surpasses Michael Vick as fastest quarterback in 'Madden' history,The Washington Times,2019,11,28,0,1,2
PM says Australia 'unable to intervene' in Julian Assange extradition: Report,The Washington Times,2019,11,28,0,1,2
Inside the Ring: Details of FBI counterspy bias revealed,The Washington Times,2019,11,28,0,1,2
"Phil Murphy, New Jersey governor, pushes lawmakers to decriminalize marijuana until voters decide",The Washington Times,2019,11,28,0,1,2
"Trump emphasizes God, faith and prayer in annual Thanksgiving Day proclamation",The Washington Times,2019,11,28,0,1,2
Edward Gallagher supervisors' review canceled after Navy secretary firing,The Washington Times,2019,11,28,0,1,2
"Mathew Golsteyn, ex-Green Beret pardoned by Trump, wants revoked medal",The Washington Times,2019,11,28,0,1,2
Michael Bloomberg's icky plunge reveals Democratic desperation,The Washington Times,2019,11,28,0,1,2
"Family of woman in drug death protest Nicholson, Redskins",The Washington Times,2019,11,28,0,1,2
"Inside the Beltway: Abortion, immigration among forbidden topics at Thanksgiving table",The Washington Times,2019,11,28,0,1,2
"Thanksgiving, Rick Perry style",The Washington Times,2019,11,28,0,1,2
Twitter set to delete inactive accounts next month,The Washington Times,2019,11,28,0,1,2
Joe Biden retakes lead over 2020 Dem rivals as Elizabeth Warren slips: Poll,The Washington Times,2019,11,28,0,1,2
BOOK REVIEW: 'The Case for Nationalism',The Washington Times,2019,11,28,0,1,2
Apple scolded by Ukrainian official after heeding Russian request over annexed Crimea,The Washington Times,2019,11,28,0,1,2
Donald Trump tweets photo of himself as Rocky Balboa in the ring,The Washington Times,2019,11,28,0,1,2
"Michael Alexander Brown, Marine deserter suspected of murder, caught in Virginia",The Washington Times,2019,11,28,0,1,2
Chick-fil-A's donation to Southern Poverty Law Center flabbergasts conservatives,The Washington Times,2019,11,28,0,1,2
Federal prosecutors issue subpoenas in criminal inquiry over opioid crisis,The Washington Times,2019,11,28,0,1,2
Girl Scouts: Parents should not force daughters to hug people during holiday season,The Washington Times,2019,11,28,0,1,2
Ilhan Omar challenger permanently suspended from Twitter after tweets about lynching congresswoman,The Washington Times,2019,11,28,0,1,2
'Anonymous' writer a cowardly tool of the left,The Washington Times,2019,11,28,0,1,2
White House responds to Nadler's impeachment invitation: Trump blameless,The Washington Times,2019,11,28,0,1,2
"Palestinian Authority, Hamas, Fatah agree on election proposal",The Washington Times,2019,11,28,0,1,2
Aubrey Huff trains sons to fire guns in case Bernie Sanders beats Donald Trump,The Washington Times,2019,11,28,0,1,2
"Acronym, a liberal group, organizes digital campaign to churn out anti-Trump content in 6 states",The Washington Times,2019,11,28,0,1,2
"Gordon Sondland threatens ProPublica, Portland Monthly lawsuit over 'sexual misconduct' reporting",The Washington Times,2019,11,28,0,1,2
DHS still can't identify all separated families from zero tolerance: IG audit,The Washington Times,2019,11,28,0,1,2
Joe Biden holds double-digit lead over nearest 2020 Democratic presidential rival: Poll,The Washington Times,2019,11,28,0,1,2
"Joe Biden maintains edge in national polling with Pete Buttigieg surging, Elizabeth Warren slipping",The Washington Times,2019,11,28,0,1,2
Stephen Strasburg and more reasons to give thanks,The Washington Times,2019,11,28,0,1,2
"'Cyborg Soldier 2050' DOD study says 'augmented,' enhanced troops 'feasible' within decades",The Washington Times,2019,11,28,0,1,2
Trump signs Hong Kong Democracy Bill despite China warning,The Washington Times,2019,11,28,0,1,2
"Lunden Alexis Roberts, woman in Hunter Biden paternity suit, was stripper at Mpire Club in D.C.",The Washington Times,2019,11,28,0,1,2
Massachusetts governor signs into law nation's first statewide ban on flavored tobacco products,The Washington Times,2019,11,28,0,1,2
China pulls ahead of U.S. in diplomatic reach: Report,The Washington Times,2019,11,28,0,1,2
Pete Davidson won't perform at colleges anymore: 'You're just setting yourself up for trouble',The Washington Times,2019,11,28,0,1,2
Paul Whelan case: U.S. says Russia blocked delivery of Thanksgiving meal to jailed former Marine,The Washington Times,2019,11,28,0,1,2
Justice Department pilot program letting police use body cameras on task forces gets mixed responses,The Washington Times,2019,11,28,0,1,2
"Joe Biden South Carolina 'firewall' threatened by Iowa, New Hampshire",The Washington Times,2019,11,28,0,1,2
"'Anonymous' author vows 'Trump will hear from me, in my own name' before 2020 election",The Washington Times,2019,11,28,0,1,2
Bethel Christian Academy gets backing from Trump administration in discrimination lawsuit,The Washington Times,2019,11,28,0,1,2
